,NewsOrg,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
0,BBC,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",Sun Mar 25 19:44:01 +0000 2018,0.128,0.101,0.077,0.821
1,BBC,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",Sun Mar 25 19:15:06 +0000 2018,-0.7506,0.0,0.286,0.714
2,BBC,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",Sun Mar 25 18:40:04 +0000 2018,0.5719,0.163,0.0,0.837
3,BBC,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,Sun Mar 25 18:13:03 +0000 2018,0.0,0.0,0.0,1.0
4,BBC,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",Sun Mar 25 17:30:07 +0000 2018,0.5267,0.185,0.0,0.815
5,BBC,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",Sun Mar 25 15:03:03 +0000 2018,0.4588,0.167,0.0,0.833
6,BBC,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",Sun Mar 25 14:30:02 +0000 2018,0.0,0.0,0.0,1.0
7,BBC,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",Sun Mar 25 14:09:03 +0000 2018,0.1779,0.091,0.0,0.909
8,BBC,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",Sun Mar 25 13:03:04 +0000 2018,0.5574,0.184,0.0,0.816
9,BBC,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",Sun Mar 25 12:03:02 +0000 2018,0.0,0.0,0.0,1.0
10,BBC,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,Sun Mar 25 10:30:04 +0000 2018,0.0,0.0,0.0,1.0
11,BBC,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",Sun Mar 25 09:30:15 +0000 2018,-0.3612,0.0,0.161,0.839
